R,G,B,Im_Positions,Labels
185.6659,187.401,187.401,0,1
153.3435,150.4746,150.4746,1,1
180.6307,185.0684,185.0684,2,-1
85.6207,113.6827,113.6827,3,1
164.4327,178.3801,178.3801,4,1
120.6416,142.6792,142.6792,5,1
100.093,127.599,127.599,6,1
85.1651,116.1969,116.1969,7,1
80.3323,114.2573,114.2573,8,1
76.1894,112.3178,112.3178,9,1
68.3794,106.7359,106.7359,10,1
61.4572,101.6409,101.6409,11,1
56.7889,98.4506,98.4506,12,1
52.2687,96.0131,96.0131,13,1
50.4911,94.4633,94.4633,14,1
114.0197,131.6844,131.6844,15,1
250.3679,251.3932,251.3932,16,1
213.9448,213.609,213.609,17,-1
110.4195,110.2776,110.2776,18,-1
113.3481,112.2008,112.2008,19,-1
124.6567,122.945,122.945,20,-1
102.5809,102.2997,102.2997,21,-1
96.7547,96.4319,96.4319,22,-1
125.8982,123.2845,123.2845,23,1
128.8192,125.4129,125.4129,24,1
128.4869,124.5241,124.5241,25,1
103.4157,121.722,121.722,26,1
131.7337,127.4516,127.4516,27,1
130.8912,125.6359,125.6359,28,1
132.4368,126.747,126.747,29,1
129.8883,125.5046,125.5046,30,1
129.3714,125.602,125.602,31,1
131.0319,126.1273,126.1273,32,1
131.0814,127.4826,127.4826,33,1
117.5706,114.9594,114.9594,34,1
123.6173,120.0086,120.0086,35,1
129.0628,124.436,124.436,36,1
103.2725,125.0967,125.0967,37,1
131.7166,126.168,126.168,38,1
131.4852,125.5478,125.5478,39,1
131.3775,125.6847,125.6847,40,1
132.9159,127.593,127.593,41,1
129.8253,124.1553,124.1553,42,1
137.074,131.1711,131.1711,43,1
129.0876,122.6989,122.6989,44,1
128.1816,123.2761,123.2761,45,1
129.7536,122.7185,122.7185,46,1
125.6674,119.4283,119.4283,47,1
104.073,127.6351,127.6351,48,1
136.7054,129.1731,129.1731,49,1
138.0204,130.9494,130.9494,50,1
120.8363,115.8724,115.8724,51,1
141.4562,135.324,135.324,52,1
110.5978,108.4843,108.4843,53,-1
113.4581,111.2754,111.2754,54,-1
126.9856,124.5685,124.5685,55,1
109.504,107.1509,107.1509,56,1
140.2624,112.4954,112.4954,57,1
145.2452,124.7719,124.7719,58,1
106.6847,132.2362,132.2362,59,1
120.6303,117.8951,117.8951,60,1
166.2049,160.2478,160.2478,61,1
160.2288,156.2451,156.2451,62,1
193.3072,188.0192,188.0192,63,1
201.6906,195.1723,195.1723,64,1
191.4743,186.1064,186.1064,65,1
202.4816,194.2286,194.2286,66,1
199.9182,193.1679,193.1679,67,1
200.5379,193.7206,193.7206,68,1
200.0779,193.214,193.214,69,1
112.4293,134.9125,134.9125,70,1
200.3082,193.429,193.429,71,1
198.1647,191.1795,191.1795,72,1
198.7051,192.6612,192.6612,73,1
198.1892,192.6632,192.6632,74,1
195.5486,191.1983,191.1983,75,1
193.696,188.9971,188.9971,76,1
191.243,186.8068,186.8068,77,1
185.7914,182.8353,182.8353,78,1
184.9111,183.738,183.738,79,1
174.1925,172.1268,172.1268,80,1
122.4712,145.3833,145.3833,81,1
177.077,174.2075,174.2075,82,1
168.6552,165.9174,165.9174,83,1
184.7177,183.087,183.087,84,1
190.7662,188.4539,188.4539,85,1
189.2042,186.1908,186.1908,86,1
187.4995,183.2624,183.2624,87,1
189.3144,184.7362,184.7362,88,1
177.331,173.665,173.665,89,1
140.4561,137.8079,137.8079,90,-1
179.2581,177.0965,177.0965,91,1
136.3609,156.4779,156.4779,92,1
178.0083,173.5093,173.5093,93,1
172.9296,159.7255,159.7255,94,1
170.7431,156.2828,156.2828,95,1
174.7102,164.6748,164.6748,96,1
157.5451,152.3801,152.3801,97,1
164.9391,152.1064,152.1064,98,1
148.8395,133.7432,133.7432,99,1
147.9922,134.1411,134.1411,100,1
141.3159,127.1551,127.1551,101,1
154.9286,146.3158,146.3158,102,1
181.668,194.2474,194.2474,103,1
