R,G,B,Im_Positions,Labels
223.0073,222.2089,222.2089,0,1
194.3061,194.4003,194.4003,1,1
142.6321,129.9296,129.9296,2,1
131.6249,129.7757,129.7757,3,1
191.6805,187.8309,187.8309,4,1
163.6202,176.4562,176.4562,5,1
118.0974,127.9298,127.9298,6,1
107.5004,118.6231,118.6231,7,1
113.1586,132.638,132.638,8,1
129.7718,152.0455,152.0455,9,1
134.2401,156.0176,156.0176,10,1
125.5585,150.8923,150.8923,11,1
113.5155,144.4551,144.4551,12,1
103.9163,140.6436,140.6436,13,1
95.1613,135.8211,135.8211,14,1
191.818,186.9925,186.9925,15,1
87.2591,130.2754,130.2754,16,1
80.3634,125.3456,125.3456,17,1
78.7358,123.5901,123.5901,18,1
72.2831,118.9513,118.9513,19,1
71.0736,117.6483,117.6483,20,1
63.7269,112.1227,112.1227,21,1
59.4498,108.0962,108.0962,22,1
56.0381,105.8983,105.8983,23,1
57.0064,105.2812,105.2812,24,1
54.2764,103.8245,103.8245,25,1
191.7922,187.1922,187.1922,26,1
53.5202,102.1146,102.1146,27,1
51.9143,100.1806,100.1806,28,1
50.7726,98.7022,98.7022,29,1
45.7009,93.8988,93.8988,30,1
43.164,89.8798,89.8798,31,1
42.1757,88.2244,88.2244,32,1
42.0175,84.914,84.914,33,1
40.2506,80.9704,80.9704,34,1
59.5447,94.8127,94.8127,35,1
94.5972,97.8677,97.8677,36,-1
189.8876,185.8551,185.8551,37,1
100.3205,112.3386,112.3386,38,-1
161.9621,165.5349,165.5349,39,-1
163.613,166.0565,166.0565,40,-1
196.0883,199.1474,199.1474,41,-1
209.2675,211.0371,211.0371,42,-1
165.8701,170.1856,170.1856,43,-1
205.3118,204.3241,204.3241,44,-1
199.7221,199.5694,199.5694,45,-1
214.0972,213.0035,213.0035,46,-1
123.7436,127.7999,127.7999,47,-1
188.8632,184.714,184.714,48,1
155.8137,156.0449,156.0449,49,1
165.0427,164.9733,164.9733,50,1
203.7005,202.6393,202.6393,51,-1
186.4379,186.1463,186.1463,52,1
146.2004,147.1801,147.1801,53,1
92.3106,95.614,95.614,54,1
166.6926,162.3195,162.3195,55,1
118.4802,114.6967,114.6967,56,1
118.4924,119.2962,119.2962,57,-1
79.8378,85.6794,85.6794,58,-1
