R,G,B,Im_Positions,Labels
54.2236,61.0212,61.0212,0,1
37.93375,47.23685,47.23685,1,1
68.9234,71.976475,71.976475,2,1
121.365375,128.379875,128.379875,3,-1
119.961825,112.417075,112.417075,4,1
99.360175,101.009875,101.009875,5,1
173.02445,174.7544,174.7544,6,1
196.88385,203.4092,203.4092,7,1
75.44425,97.689625,97.689625,8,1
92.168575,105.678525,105.678525,9,1
88.005075,107.32625,107.32625,10,1
92.878575,112.138775,112.138775,11,1
121.777725,129.0279,129.0279,12,1
124.245825,129.835375,129.835375,13,1
115.373475,129.838375,129.838375,14,1
157.9702,134.047725,134.047725,15,1
107.13945,126.6806,126.6806,16,1
89.7751,108.0251,108.0251,17,1
89.15825,104.28225,104.28225,18,1
81.687025,99.53155,99.53155,19,1
66.409,78.7587,78.7587,20,1
48.2698,60.63525,60.63525,21,1
44.458825,54.998075,54.998075,22,1
44.0622,50.95525,50.95525,23,1
47.362075,50.9828,50.9828,24,1
55.3054,58.307175,58.307175,25,1
171.4347,157.39375,157.39375,26,1
61.1534,62.94475,62.94475,27,1
101.959975,102.292975,102.292975,28,-1
129.3902,130.5893,130.5893,29,-1
147.6951,147.8311,147.8311,30,-1
147.497525,145.523975,145.523975,31,1
180.682875,174.4767,174.4767,32,1
184.2675,178.022525,178.022525,33,1
181.6542,174.865875,174.865875,34,1
183.516375,175.222425,175.222425,35,1
182.663875,174.86985,174.86985,36,1
159.559025,161.816725,161.816725,37,-1
181.992175,174.60155,174.60155,38,1
182.97615,175.687975,175.687975,39,1
184.330025,176.88485,176.88485,40,1
186.5696,179.78075,179.78075,41,1
166.971425,162.6344,162.6344,42,1
169.24165,161.404075,161.404075,43,1
178.467675,171.638375,171.638375,44,1
174.40915,169.70985,169.70985,45,1
175.397675,170.891475,170.891475,46,1
174.450025,170.20785,170.20785,47,1
173.6447,177.94755,177.94755,48,-1
176.571675,171.634475,171.634475,49,1
161.803775,154.6274,154.6274,50,1
152.3679,144.193075,144.193075,51,1
140.1946,132.5553,132.5553,52,1
149.1342,141.377325,141.377325,53,1
172.070825,163.43925,163.43925,54,1
176.98865,167.59295,167.59295,55,1
183.84935,175.836525,175.836525,56,1
182.754625,177.649025,177.649025,57,1
183.26595,178.118725,178.118725,58,1
180.004275,183.426175,183.426175,59,-1
184.6108,181.77625,181.77625,60,1
184.377825,183.245925,183.245925,61,1
182.12765,181.621375,181.621375,62,1
158.195525,158.214475,158.214475,63,1
144.0124,144.926825,144.926825,64,1
138.634275,141.516825,141.516825,65,1
133.204075,138.176,138.176,66,1
126.834075,133.4133,133.4133,67,1
123.470575,131.41185,131.41185,68,1
113.856975,121.456275,121.456275,69,1
177.61915,180.16585,180.16585,70,-1
110.105375,116.963775,116.963775,71,1
108.0573,113.9644,113.9644,72,1
103.2409,107.67125,107.67125,73,1
163.818675,167.18915,167.18915,74,1
168.835875,184.159275,184.159275,75,-1
112.205275,130.05055,130.05055,76,-1
104.388875,114.180575,114.180575,77,1
76.352075,101.24035,101.24035,78,1
125.640475,129.4986,129.4986,79,1
157.6683,151.573325,151.573325,80,1
173.615075,176.211325,176.211325,81,-1
140.174275,138.523525,138.523525,82,-1
135.256175,143.104475,143.104475,83,1
113.81595,125.586325,125.586325,84,1
97.02505,101.228475,101.228475,85,-1
81.76375,93.766175,93.766175,86,1
68.7207,87.136925,87.136925,87,1
72.836125,85.936675,85.936675,88,1
51.102975,66.0773,66.0773,89,1
42.742675,56.6152,56.6152,90,1
37.399225,50.49655,50.49655,91,1
167.646575,169.822875,169.822875,92,-1
35.84035,48.427425,48.427425,93,1
36.10275,48.450575,48.450575,94,1
42.249275,52.28305,52.28305,95,1
65.42435,65.6341,65.6341,96,1
76.006075,69.7952,69.7952,97,1
132.354225,131.23555,131.23555,98,1
174.271,167.559875,167.559875,99,1
184.3531,176.92195,176.92195,100,1
186.645775,179.491725,179.491725,101,1
184.04555,176.556675,176.556675,102,1
159.880475,163.029525,163.029525,103,-1
185.12625,176.05305,176.05305,104,1
184.5833,176.461275,176.461275,105,1
184.514325,175.925625,175.925625,106,1
184.20855,175.92855,175.92855,107,1
187.025375,179.39745,179.39745,108,1
188.922575,181.723675,181.723675,109,1
177.849125,172.28655,172.28655,110,1
169.549175,162.386075,162.386075,111,1
171.2343,165.22385,165.22385,112,1
182.408675,176.48255,176.48255,113,1
108.964825,116.34005,116.34005,114,-1
153.384575,156.10815,156.10815,115,-1
167.89645,164.06355,164.06355,116,1
180.04225,175.6458,175.6458,117,1
177.516375,171.279375,171.279375,118,1
166.188475,158.26835,158.26835,119,1
158.528,150.17475,150.17475,120,1
123.0557,121.801925,121.801925,121,1
150.10285,143.0913,143.0913,122,1
190.460175,179.77365,179.77365,123,1
184.706925,175.9829,175.9829,124,1
188.2657,180.919875,180.919875,125,1
153.921325,157.0807,157.0807,126,-1
184.2685,177.776375,177.776375,127,1
188.933425,183.191725,183.191725,128,1
195.466425,190.551475,190.551475,129,1
181.72005,180.05675,180.05675,130,1
169.416375,169.555825,169.555825,131,1
156.2134,157.91595,157.91595,132,1
146.99185,149.45745,149.45745,133,1
142.283175,145.9188,145.9188,134,1
136.7828,141.878425,141.878425,135,1
131.559425,137.148625,137.148625,136,1
154.741675,157.029375,157.029375,137,-1
120.00025,129.120375,129.120375,138,1
114.80115,124.5274,124.5274,139,1
112.155675,119.397275,119.397275,140,1
107.076775,114.152825,114.152825,141,1
105.910025,111.5966,111.5966,142,1
99.991125,106.951475,106.951475,143,1
242.804975,243.526225,243.526225,144,1
170.8298,180.39525,180.39525,145,-1
106.434375,135.2941,135.2941,146,-1
121.710675,126.0309,126.0309,147,1
151.619125,154.267725,154.267725,148,-1
111.047275,117.210325,117.210325,149,1
157.704925,152.0721,152.0721,150,1
171.617425,156.42,156.42,151,1
143.15515,138.05855,138.05855,152,1
190.666675,188.4902,188.4902,153,1
152.097075,151.8986,151.8986,154,1
148.564525,146.325825,146.325825,155,1
109.803375,108.977325,108.977325,156,-1
119.230375,114.9078,114.9078,157,1
104.483425,104.37515,104.37515,158,1
148.491775,152.4074,152.4074,159,-1
58.47375,72.8625,72.8625,160,1
47.34655,61.818775,61.818775,161,1
42.015075,55.20435,55.20435,162,1
39.493975,51.8217,51.8217,163,1
36.3311,50.17475,50.17475,164,1
34.222075,46.253675,46.253675,165,1
39.384975,50.414325,50.414325,166,1
88.383425,91.615925,91.615925,167,1
168.932475,164.23425,164.23425,168,1
173.962675,166.915925,166.915925,169,1
147.205725,150.668125,150.668125,170,-1
184.822375,176.765525,176.765525,171,1
184.77235,178.077975,178.077975,172,1
183.7355,176.2331,176.2331,173,1
183.9735,175.498275,175.498275,174,1
184.477125,176.662025,176.662025,175,1
186.210425,178.84935,178.84935,176,1
186.92935,179.3858,179.3858,177,1
186.70055,178.736075,178.736075,178,1
187.439075,179.596,179.596,179,1
165.38235,161.111575,161.111575,180,1
147.085425,151.040875,151.040875,181,-1
178.52995,170.71175,170.71175,182,1
169.1494,163.373075,163.373075,183,1
187.0121,181.855725,181.855725,184,1
180.322175,176.436875,176.436875,185,1
171.9852,168.5338,168.5338,186,1
176.600625,170.637075,170.637075,187,1
169.347425,160.710375,160.710375,188,1
170.3674,160.552175,160.552175,189,1
153.36075,144.093575,144.093575,190,1
156.727025,147.973625,147.973625,191,1
150.5184,154.302725,154.302725,192,-1
175.790275,166.356725,166.356725,193,1
183.427825,174.469375,174.469375,194,1
189.803925,182.0429,182.0429,195,1
190.419675,183.71475,183.71475,196,1
192.0663,186.824775,186.824775,197,1
200.965825,197.901375,197.901375,198,1
180.105275,179.968075,179.968075,199,1
167.764975,169.254025,169.254025,200,1
153.961425,155.7638,155.7638,201,1
145.5626,148.75435,148.75435,202,1
154.31575,158.5494,158.5494,203,-1
142.1877,146.0719,146.0719,204,1
139.755625,144.47955,144.47955,205,1
138.081175,143.7292,143.7292,206,1
117.115,127.518275,127.518275,207,1
117.24465,126.383575,126.383575,208,1
111.4765,119.8739,119.8739,209,1
107.86185,115.60605,115.60605,210,1
103.950525,111.811225,111.811225,211,1
121.932425,129.36815,129.36815,212,1
149.032625,153.3792,153.3792,213,1
158.129425,162.650575,162.650575,214,-1
101.0344,112.97385,112.97385,215,1
109.31505,115.984575,115.984575,216,1
123.36545,127.0494,127.0494,217,-1
139.510675,139.9295,139.9295,218,-1
149.972675,147.052025,147.052025,219,1
159.277375,151.879725,151.879725,220,1
