R,G,B,Im_Positions,Labels
123.8323,129.3026,129.3026,0,-1
94.8877,100.92,100.92,1,-1
139.2821,133.5435,133.5435,2,1
58.9873,97.1173,97.1173,3,1
58.8514,61.4069,61.4069,4,1
68.4208,100.0778,100.0778,5,1
68.9457,100.3608,100.3608,6,1
77.3405,107.5006,107.5006,7,1
76.8088,109.3955,109.3955,8,1
77.947,112.3257,112.3257,9,1
75.4494,112.5112,112.5112,10,1
71.6597,107.2699,107.2699,11,1
71.7176,106.6647,106.6647,12,1
72.56,105.9952,105.9952,13,1
70.1005,101.9457,101.9457,14,1
75.6022,79.5155,79.5155,15,1
70.4463,100.7538,100.7538,16,1
71.5771,101.9556,101.9556,17,1
69.9548,100.1593,100.1593,18,1
65.4741,96.8264,96.8264,19,1
59.791,92.803,92.803,20,1
55.6228,89.4065,89.4065,21,1
53.6384,89.1223,89.1223,22,1
53.7463,90.424,90.424,23,1
52.2902,88.5356,88.5356,24,1
52.119,88.4725,88.4725,25,1
90.2821,95.3125,95.3125,26,1
50.9097,86.7572,86.7572,27,1
49.9886,86.8226,86.8226,28,1
120.5644,145.0632,145.0632,29,1
167.1545,171.7979,171.7979,30,1
73.3078,84.2756,84.2756,31,1
81.2595,90.6956,90.6956,32,1
77.666,85.5786,85.5786,33,1
78.0582,85.0762,85.0762,34,-1
74.7119,81.6161,81.6161,35,-1
59.6382,61.9776,61.9776,36,-1
73.1733,75.0241,75.0241,37,1
26.5155,27.8506,27.8506,38,-1
62.1608,63.7272,63.7272,39,-1
124.7348,121.4251,121.4251,40,1
123.2189,120.9915,120.9915,41,1
57.3807,58.0513,58.0513,42,-1
34.1986,45.1476,45.1476,43,-1
88.8027,104.7706,104.7706,44,-1
105.6724,149.6722,149.6722,45,-1
99.3205,165.8116,165.8116,46,-1
67.0576,154.3017,154.3017,47,-1
39.1445,49.7434,49.7434,48,1
64.6075,169.5322,169.5322,49,-1
69.2944,173.2843,173.2843,50,-1
54.1761,171.4883,171.4883,51,-1
37.3655,181.2108,181.2108,52,-1
27.299,178.839,178.839,53,-1
22.9139,165.5778,165.5778,54,-1
43.8649,171.0629,171.0629,55,-1
172.0482,176.5577,176.5577,56,-1
192.0267,194.2078,194.2078,57,-1
189.1275,192.511,192.511,58,-1
39.7545,46.6141,46.6141,59,1
189.261,192.9712,192.9712,60,-1
179.6898,179.9982,179.9982,61,-1
192.9988,196.0699,196.0699,62,-1
175.3631,173.6872,173.6872,63,1
191.4,196.4837,196.4837,64,-1
189.2623,194.9421,194.9421,65,-1
190.6444,194.819,194.819,66,-1
190.5476,195.3991,195.3991,67,-1
190.6714,192.9832,192.9832,68,1
189.3622,189.7479,189.7479,69,1
83.2855,84.4856,84.4856,70,1
190.9242,186.4967,186.4967,71,1
194.4426,187.656,187.656,72,1
193.0747,185.7283,185.7283,73,1
188.7449,181.373,181.373,74,1
183.834,176.2537,176.2537,75,1
179.8344,171.2633,171.2633,76,1
185.1946,178.2983,178.2983,77,1
172.7035,164.9583,164.9583,78,1
183.9444,177.8699,177.8699,79,1
175.2492,169.8674,169.8674,80,1
47.4296,48.9359,48.9359,81,1
163.5416,156.8957,156.8957,82,1
166.5289,160.0924,160.0924,83,1
158.4478,152.9067,152.9067,84,1
174.05,168.5029,168.5029,85,1
173.2906,166.8252,166.8252,86,1
172.0108,163.7322,163.7322,87,1
170.0072,160.5962,160.5962,88,1
167.7679,158.8963,158.8963,89,1
169.4908,160.5953,160.5953,90,1
168.068,160.212,160.212,91,1
90.9684,87.9567,87.9567,92,1
168.4119,160.6794,160.6794,93,1
169.1886,160.4198,160.4198,94,1
169.5107,159.474,159.474,95,1
168.8133,160.1054,160.1054,96,1
169.5614,161.8273,161.8273,97,1
170.5335,164.7536,164.7536,98,1
170.0113,163.3391,163.3391,99,1
173.4667,164.0377,164.0377,100,1
173.3898,163.6652,163.6652,101,1
165.6918,156.704,156.704,102,1
134.2234,127.576,127.576,103,1
165.2784,157.7189,157.7189,104,1
162.1716,154.9652,154.9652,105,1
176.3131,169.7225,169.7225,106,1
183.6351,176.9348,176.9348,107,1
180.3717,172.3495,172.3495,108,1
177.4381,169.8149,169.8149,109,1
142.1352,129.4413,129.4413,110,1
147.2338,135.0898,135.0898,111,1
173.5036,170.6196,170.6196,112,-1
197.4542,206.3529,206.3529,113,-1
59.4257,96.9564,96.9564,114,1
158.3726,153.3734,153.3734,115,1
174.7449,186.6942,186.6942,116,1
101.9918,117.7467,117.7467,117,1
89.8474,105.8467,105.8467,118,1
73.7733,96.9001,96.9001,119,1
60.6731,87.6276,87.6276,120,1
60.823,86.5902,86.5902,121,1
64.525,89.4816,89.4816,122,1
64.2509,89.0239,89.0239,123,1
61.0531,89.7217,89.7217,124,1
60.6869,90.6452,90.6452,125,1
192.9137,187.4829,187.4829,126,1
67.6306,95.6017,95.6017,127,1
66.8976,97.5917,97.5917,128,1
68.322,99.4931,99.4931,129,1
64.6208,97.7461,97.7461,130,1
70.5014,102.2563,102.2563,131,1
76.5733,108.432,108.432,132,1
77.2748,112.4317,112.4317,133,1
76.0944,112.4451,112.4451,134,1
72.1586,105.9572,105.9572,135,1
72.636,105.5717,105.5717,136,1
192.9824,187.7239,187.7239,137,1
72.9036,105.3764,105.3764,138,1
71.0614,102.2106,102.2106,139,1
70.0392,100.1014,100.1014,140,1
71.5218,101.3152,101.3152,141,1
69.7377,99.1335,99.1335,142,1
62.9764,94.3885,94.3885,143,1
58.6447,91.6408,91.6408,144,1
55.2165,90.1196,90.1196,145,1
53.416,89.5714,89.5714,146,1
52.8694,89.2405,89.2405,147,1
191.092,185.7267,185.7267,148,1
52.3064,87.5246,87.5246,149,1
53.1192,87.2846,87.2846,150,1
51.361,87.0524,87.0524,151,1
50.3026,85.8414,85.8414,152,1
139.4983,159.4496,159.4496,153,1
135.2635,140.792,140.792,154,1
74.4621,84.4847,84.4847,155,1
77.5634,88.5071,88.5071,156,1
87.7836,97.6329,97.6329,157,1
87.2048,94.3436,94.3436,158,1
190.4519,184.4797,184.4797,159,1
84.0247,91.6912,91.6912,160,1
77.0136,85.0784,85.0784,161,1
89.7039,94.8916,94.8916,162,1
51.257,52.7157,52.7157,163,-1
30.034,32.7988,32.7988,164,-1
75.707,72.6412,72.6412,165,1
36.8339,35.5432,35.5432,166,1
46.7186,47.5682,47.5682,167,-1
