R,G,B,Im_Positions,Labels
85.8305,89.9426,89.9426,0,-1
91.9544,94.439,94.439,1,-1
14.3025,19.8441,19.8441,2,1
39.086,40.3093,40.3093,3,-1
204.9758,206.1584,206.1584,4,-1
86.343,86.4323,86.4323,5,1
99.322,98.8155,98.8155,6,1
110.6134,108.7012,108.7012,7,1
109.0474,106.6523,106.6523,8,1
108.7352,106.3813,106.3813,9,1
110.7499,108.2774,108.2774,10,1
110.7771,109.5283,109.5283,11,1
110.9737,110.0539,110.0539,12,1
110.8736,109.087,109.087,13,1
112.8497,111.2362,111.2362,14,1
241.274,241.5855,241.5855,15,-1
112.9526,112.172,112.172,16,1
113.7921,112.6839,112.6839,17,-1
114.9713,113.6747,113.6747,18,-1
116.1429,115.3534,115.3534,19,-1
117.0089,116.8379,116.8379,20,-1
116.9793,117.518,117.518,21,-1
117.66,116.9281,116.9281,22,-1
120.9074,119.8863,119.8863,23,-1
124.5718,123.1628,123.1628,24,-1
127.461,125.9426,125.9426,25,-1
95.9669,95.8543,95.8543,26,-1
128.1658,125.572,125.572,27,-1
120.1129,119.3618,119.3618,28,-1
111.9973,109.7175,109.7175,29,-1
119.4923,114.9688,114.9688,30,-1
122.1686,117.9363,117.9363,31,-1
125.3836,118.5259,118.5259,32,-1
123.4338,117.3342,117.3342,33,1
124.0333,118.2983,118.2983,34,1
113.5787,107.216,107.216,35,1
108.7464,101.7688,101.7688,36,1
57.0276,57.5024,57.5024,37,-1
111.5802,105.4958,105.4958,38,1
106.9963,99.8521,99.8521,39,1
101.6404,97.5565,97.5565,40,-1
103.7726,98.9583,98.9583,41,-1
78.7672,74.8992,74.8992,42,1
60.6855,59.5519,59.5519,43,1
52.1456,52.6411,52.6411,44,1
50.7329,52.6692,52.6692,45,1
46.7485,49.3273,49.3273,46,1
45.0021,48.9338,48.9338,47,1
148.6499,161.7252,161.7252,48,-1
45.7999,51.3159,51.3159,49,1
45.1985,50.8765,50.8765,50,-1
46.5038,50.7162,50.7162,51,-1
47.5059,51.4133,51.4133,52,-1
50.4333,55.8151,55.8151,53,-1
51.9783,57.4237,57.4237,54,-1
54.3811,60.3943,60.3943,55,-1
56.6035,63.4687,63.4687,56,-1
57.7947,64.274,64.274,57,-1
58.5208,64.496,64.496,58,-1
155.9335,167.4069,167.4069,59,-1
56.9703,63.3356,63.3356,60,-1
55.4149,63.5199,63.5199,61,-1
58.8702,66.8577,66.8577,62,-1
60.7044,67.883,67.883,63,-1
58.2185,65.2348,65.2348,64,-1
57.828,63.7903,63.7903,65,-1
58.6164,64.3509,64.3509,66,-1
60.7529,66.0413,66.0413,67,-1
60.1825,66.5554,66.5554,68,-1
56.3238,62.2552,62.2552,69,-1
148.5672,159.9409,159.9409,70,-1
57.4928,62.3333,62.3333,71,-1
56.5761,61.5982,61.5982,72,-1
57.7499,61.9869,61.9869,73,-1
57.5989,61.7512,61.7512,74,-1
58.0028,62.6311,62.6311,75,-1
55.026,59.4155,59.4155,76,-1
53.1404,57.4823,57.4823,77,-1
53.4421,57.375,57.375,78,-1
52.7244,56.7595,56.7595,79,-1
52.6223,56.7841,56.7841,80,-1
152.3309,163.8129,163.8129,81,-1
51.6107,55.7688,55.7688,82,-1
51.4088,55.7366,55.7366,83,-1
51.1496,55.7463,55.7463,84,-1
51.6603,55.8391,55.8391,85,-1
52.28,56.6797,56.6797,86,-1
53.5876,57.9528,57.9528,87,-1
52.7635,58.1349,58.1349,88,-1
54.0519,60.142,60.142,89,-1
52.1053,59.2751,59.2751,90,-1
52.3982,59.9171,59.9171,91,-1
156.5034,168.4694,168.4694,92,-1
50.8223,58.8558,58.8558,93,-1
49.2984,58.8925,58.8925,94,-1
50.0129,59.1939,59.1939,95,-1
53.7871,62.3982,62.3982,96,-1
49.4191,59.139,59.139,97,-1
48.761,59.4982,59.4982,98,-1
213.5183,215.6045,215.6045,99,-1
211.3916,217.1504,217.1504,100,-1
135.2765,148.1568,148.1568,101,-1
159.3713,178.2056,178.2056,102,-1
89.2041,97.9657,97.9657,103,-1
163.8685,178.2392,178.2392,104,-1
177.8125,191.5786,191.5786,105,-1
189.5241,205.4492,205.4492,106,-1
190.7622,206.359,206.359,107,-1
189.0401,205.0158,205.0158,108,-1
188.4251,203.6487,203.6487,109,-1
178.2073,187.9632,187.9632,110,-1
190.9127,203.723,203.723,111,-1
190.598,202.7187,202.7187,112,-1
187.7583,200.9221,200.9221,113,-1
47.7637,48.0288,48.0288,114,-1
81.0366,90.2565,90.2565,115,-1
180.3283,190.2973,190.2973,116,-1
179.4999,191.0407,191.0407,117,-1
187.5364,202.3725,202.3725,118,-1
188.1877,204.474,204.474,119,-1
189.9995,205.9067,205.9067,120,-1
189.5073,203.2945,203.2945,121,-1
153.8567,167.9953,167.9953,122,-1
135.0413,150.0722,150.0722,123,-1
149.1393,166.1164,166.1164,124,-1
176.4128,193.6379,193.6379,125,-1
74.4017,82.4523,82.4523,126,-1
106.6996,117.0666,117.0666,127,-1
75.9584,85.0736,85.0736,128,-1
85.1313,93.5391,93.5391,129,-1
72.0315,78.643,78.643,130,-1
22.612,19.0119,19.0119,131,-1
18.8056,17.7319,17.7319,132,-1
24.864,23.7926,23.7926,133,-1
22.4557,22.4229,22.4229,134,-1
18.3986,19.0623,19.0623,135,-1
40.9768,40.7218,40.7218,136,-1
81.047,88.8265,88.8265,137,-1
44.3221,46.6824,46.6824,138,-1
29.81,32.9218,32.9218,139,-1
27.2041,30.2929,30.2929,140,-1
30.1595,26.8993,26.8993,141,1
59.9313,46.7152,46.7152,142,1
63.4001,55.4981,55.4981,143,1
80.6965,80.5406,80.5406,144,-1
96.0782,96.7821,96.7821,145,-1
84.1021,86.0198,86.0198,146,-1
93.4316,93.2789,93.2789,147,-1
80.0297,87.4369,87.4369,148,-1
104.551,103.5607,103.5607,149,-1
102.6374,101.4422,101.4422,150,1
109.8924,108.1899,108.1899,151,1
110.1648,107.6874,107.6874,152,1
107.4728,105.0164,105.0164,153,1
109.4868,106.6418,106.6418,154,1
110.6889,108.6724,108.6724,155,1
110.9142,108.9416,108.9416,156,1
110.5881,108.5842,108.5842,157,1
111.4828,109.9605,109.9605,158,1
75.1127,83.4613,83.4613,159,-1
113.2261,111.3671,111.3671,160,1
114.0696,112.6045,112.6045,161,-1
114.6293,113.512,113.512,162,-1
115.2068,113.6691,113.6691,163,-1
117.4269,115.9564,115.9564,164,-1
117.6883,117.1537,117.1537,165,-1
118.3499,118.0895,118.0895,166,-1
121.6845,121.1569,121.1569,167,-1
125.4071,124.4005,124.4005,168,-1
128.5338,127.0593,127.0593,169,-1
75.5834,83.7771,83.7771,170,-1
128.4527,127.0017,127.0017,171,-1
130.3131,127.727,127.727,172,-1
110.9262,109.3393,109.3393,173,-1
115.7815,111.211,111.211,174,-1
120.6611,116.9742,116.9742,175,-1
128.3958,121.9562,121.9562,176,-1
125.8787,118.5098,118.5098,177,1
126.9289,119.175,119.175,178,1
121.0925,112.3393,112.3393,179,1
105.132,97.9998,97.9998,180,1
80.5918,88.8004,88.8004,181,-1
109.764,101.563,101.563,182,1
105.4966,97.7673,97.7673,183,1
100.9507,97.202,97.202,184,-1
99.7151,94.9628,94.9628,185,-1
75.6796,70.4661,70.4661,186,1
56.6498,55.8959,55.8959,187,1
